study	relevance	note	journal	year_published	model_name	sector_included	target_year	spatial_scope	spatial_nodes	central_framework	justice primary focus	implicit/explicit justice	type_of_justice	cause_of_justice	equity_definitions	evaluation_method	point_of_integration	handled_in_model	social_aspect	results	objective
Patrizio, P., Leduc, S., Kraxner, F., Fuss, S., Kindermann, G., Mesfun, S., Spokas, K., Mendoza, A., Mac Dowell, N., Wetterlund, E., Lundgren, J., Dotzauer, E., Yowargana, P., & Obersteiner, M. (2018). Reducing US Coal Emissions Can Boost Employment. Joule, 2(12), 2633–2648. https://doi.org/10.1016/j.joule.2018.10.004			Joule	2018	BeWhere-US + JEDI	energy system	2050	The United States			No	implicit		Socio-economic indicators	not defined		modelling process				
Patrizio, P., Pratama, Y. W., & Dowell, N. M. (2020). Socially Equitable Energy System Transitions. Joule, 4(8), 1700–1713. https://doi.org/10.1016/j.joule.2020.07.010	Yes		Joule	2020	ESO-X + JEDI	power system	2050	UK, Spain and Poland	3		Yes	explicit	societal distribution	Socio-economic indicators	maximise GVA		storylines, scenarios, input parameters and modelling process	Scenarios – including socio-economic indicators			
Price, J., Mainzer, K., Petrović, S., Zeyringer, M., & McKenna, R. (2020). The implications of landscape visual impact on future highly renewable power systems: A case study for Great Britain. IEEE Transactions on Power Systems, 1–1. https://doi.org/10.1109/TPWRS.2020.2992061	No	Scenicness	IEEE Transactions on Power Systems	2020	highRES	power system	2050	Great Britain	20	Scenicness	No	implicit	spatial distribution	allocation of wind power	not defined		storylines, scenarios, input parameters	exclusion based on scenicness			
Sasse, J.-P., & Trutnevyte, E. (2019). Distributional trade-offs between regionally equitable and cost-efficient allocation of renewable electricity generation. Applied Energy, 254, 113724. https://doi.org/10.1016/j.apenergy.2019.113724	Yes		Applied Energy	2019	EXPANSE	power system	2035	Switzerland	2258	Energy justice	Yes	explicit	spatial distribution	allocation of energy technologies, economic impacts	equality, cost-efficiency	gini index/lorenz curve	modelling process	MGA			
Sasse, J.-P., & Trutnevyte, E. (2020). Regional impacts of electricity system transition in Central Europe until 2035. Nature Communications, 11(1), 4972. https://doi.org/10.1038/s41467-020-18812-y	Yes		Nature Communications	2020	EXPANSE + Pypsa-Eur	power system	2035	Austria, Denmark, France, Germany, Poland and Switzerland	650		Yes	explicit	spatial distribution	regional impacts	equality, cost-efficiency	gini index/lorenz curve	modelling process	MGA			
Tröndle, T., Lilliestam, J., Marelli, S., & Pfenninger, S. (2020). Trade-Offs between Geographic Scale, Cost, and Infrastructure Requirements for Fully Renewable Electricity in Europe. Joule, 4(9), 1929–1948. https://doi.org/10.1016/j.joule.2020.07.018	Maybe, probably not?		Joule	2020																	
Trotter, P. A., Cooper, N. J., & Wilson, P. R. (2019). A multi-criteria, long-term energy planning optimisation model with integrated on-grid and off-grid electrification – The case of Uganda. Applied Energy, 243, 288–312. https://doi.org/10.1016/j.apenergy.2019.03.178	Yes		Applied Energy	2019	MO-MILP	power system	2040	Uganda	112		No	explicit									
Wang, G., Zhang, Q., Li, Y., & Mclellan, B. C. (2019). Efficient and equitable allocation of renewable portfolio standards targets among China’s provinces. Energy Policy, 125, 170–180. https://doi.org/10.1016/j.enpol.2018.10.044	Yes		Energy Policy	2019		power system	2020	China	29		Yes	explicit	spatial distribution	allocation of energy technologies	equality, cost-efficiency	gini index/lorenz curve	storylines, scenarios, input parameters				
Weinand, J. M., McKenna, R., Kleinebrahm, M., Scheller, F., & Fichtner, W. (2021). The impact of public acceptance on cost efficiency and environmental sustainability in decentralized energy systems. Patterns, 2(7), 100301. https://doi.org/10.1016/j.patter.2021.100301	Yes	Scenicness	Patterns	2021	RE³ASON	energy system	2050	Germany	Municipalities / Local administrative units (LAU)	Scenicness	No	implicit (uncertain)	spatial distribution	allocation of wind power	equality, cost-efficiency		storylines, scenarios, input parameters	exclusion based on scenicness			
Fitiwi, D. Z., Lynch, M., & Bertsch, V. (2020). Power system impacts of community acceptance policies for renewable energy deployment under storage cost uncertainty. Renewable Energy, 156, 893–912. https://doi.org/10.1016/j.renene.2020.03.110
																					
